mp_id,med_name,price
2,Hydrocillin Tab,259.74
3,Roxidine Forte,227.99
4,Dolotidine Cap,113.1
5,Hydroolol Max,370.91
6,Cipromab XR,255.31
7,Trixan Max,230.23
8,Zyloprazole Cream,266.78
9,Panvir Lite,137.66
10,Roxisartan DS,357.84
11,Maximab Inj,48.31
12,Norzol Tab,47.95
13,Hydrosartan Inj,326.24
14,Levobarb Gel,299.2
15,Claribarb SR,225.89
16,Maxiazole Lite,331.44
17,Neoazole SR,447.27
18,Fluprazole Forte,248.71
19,Ultrapril Inj,91.29
20,Acustat Ointment,60.86
21,Zylopril SR,71.61
22,Levozol Drops,388.03
23,Omnitidine Plus,421.42
24,Neoazole Ointment,223.39
25,Metadine DS,216.85
26,Norbarb DS,448.4
27,Dexlax SR,417.2
28,Hydrobarb Forte,336.75
29,Bioxan Inj,66.15
30,Neomycin Drops,420.31
31,Roxiazole Syrup,400.81
32,Doloxan XR,45.4
33,Neotidine Forte,78.85
34,Tribarb Syrup,290.4
35,Zyloazole Cap,209.74
36,Omnidine Forte,151.66
37,Acudine Cap,345.69
38,Nordine Max,159.7
39,Zylomab Tab,369.16
40,Fluquine Max,245.47
41,Roxizol Plus,77.25
42,Ultracept Cream,152.89
43,Hydrofen Lite,166.81
44,Dexbarb Cream,160.94
45,Levosartan SR,148.04
46,Norprazole Gel,227.99
47,Acumycin Max,110.73
48,Hydroquine Tab,143.7
49,Maxiolol Cream,135.81
50,Amoxicept Lite,493.33
51,Ciproprazole Cap,467.68
52,Triazole Gel,138
53,Neovir DS,492.79
54,Panmycin Plus,87.49
55,Panmycin XR,262.66
56,Ciprovir SR,210.35
57,Clariolol Ointment,156.01
58,Amoxivir SR,128.56
59,Norfen Forte,220.81
60,Panxan Max,412.68
61,Cipropril Drops,112.02
62,Claribarb Cap,91.4
63,Norlax Ointment,262.26
64,Dexpril Drops,154.88
65,Doloxan Gel,495.42
66,Tritidine Cap,222.66
67,Biosartan Lite,226.54
68,Neostat Drops,341.8
69,Biovir DS,336.31
70,Ultrapril Syrup,60.43
71,Ultraprazole Cap,75.07
72,Acupril Plus,238.86
73,Zyloazole Ointment,316.08
74,Panmab Forte,220.73
75,Zylomycin Max,29.68
76,Metavir SR,249.9
77,Panvir Ointment,84.44
78,Zylostat Plus,486.46
79,Cipromycin Gel,275.99
80,Maxisartan DS,290.59
81,Hydroolol Cream,209.64
82,Ciprofen Plus,64.58
83,Neodine Tab,65.39
84,Levolax DS,234.08
85,Amoxizol DS,485.18
86,Ciprobarb Inj,440.97
87,Roxistat Forte,30.5
88,Maximycin Forte,281.61
89,Neocillin Lite,106.74
90,Maxizol Cream,139.16
91,Metatidine Ointment,409.74
92,Roxixan Tab,105.87
93,Zylomab Lite,371.52
94,Roxifen Lite,457.39
95,Roxistat Plus,343.52
96,Dololax Lite,417.89
97,Clarimycin XR,62.88
98,Ciproquine Plus,209.69
99,Neoxan Forte,181.87
100,Pandine Syrup,212.08
101,Fluzol Forte,497.8
102,Norsartan Inj,123.32
103,Norzone SR,118.54
104,Metabarb Drops,143.35
105,Hydropril Ointment,258.51
106,Tripril Plus,50.23
107,Omnizol Forte,81.26
108,Cipropril Lite,124
109,Ciprovir Cream,176.65
110,Ciprocept Lite,142.06
111,Acumab Cream,176.99
112,Pansartan Tab,61.41
113,Ciprodine Inj,228.33
114,Zylosartan Tab,395.47
115,Panmycin Max,119.09
116,Claricept Cap,162.96
117,Omnidine Plus,383.55
118,Panvir Cap,19.22
119,Acuazole Forte,110.89
120,Maximab Drops,183.11
121,Clarimab DS,283.66
122,Biosartan Syrup,87.75
123,Amoxilax Inj,113.17
124,Fluprazole Plus,205.72
125,Claritidine Inj,329.22
126,Roxizone Inj,52.53
127,Biomycin Gel,457.09
128,Metastat Drops,436.74
129,Aculax Inj,357.12
130,Neocillin DS,441.33
131,Fluazole Cap,471.76
132,Maxidine Max,246.19
133,Levopril Cream,449.93
134,Metadine Ointment,262.07
135,Zyloquine XR,433.27
136,Biovir Lite,333.96
137,Hydrovir Lite,403.85
138,Clarizol Tab,141.65
139,Hydroolol Gel,356.79
140,Roxitidine Max,453.32
141,Dexcillin Forte,340.47
142,Tridine Cap,36.81
143,Metamab Lite,35.99
144,Roxisartan Ointment,496.77
145,Biovir Syrup,409.65
146,Levozol Max,168.24
147,Ciprotidine Max,332.13
148,Trivir Inj,201.85
149,Doloolol XR,367.47
150,Ultraolol Forte,296.33
151,Clariquine Cream,121.79
152,Dololax SR,295.69
153,Dextidine Forte,65.37
154,Amoximycin Syrup,354.83
155,Fluxan Cream,311.36
156,Clarizone Plus,108.59
157,Tricillin DS,304.87
158,Fluzol Cap,61.38
159,Maximab Cap,20.66
160,Ciprovir Forte,441.04
161,Zylodine Max,432.65
162,Norlax DS,102.82
163,Roxipril Cream,33.23
164,Dolozol Forte,169.47
165,Ultrastat Cream,480.82
166,Neolax XR,28.92
167,Norsartan Max,201.48
168,Pansartan Forte,42.59
169,Ciproquine Syrup,498.92
170,Dolozol Plus,15.19
171,Clarisartan Gel,49.04
172,Hydroazole Syrup,166.49
173,Maxistat Inj,36.54
174,Hydrodine Gel,261.06
175,Amoximycin Lite,96.24
176,Ultraolol Cream,296.85
177,Dolozol DS,107.56
178,Maxizol Ointment,160.71
179,Omnibarb Cap,386.05
180,Dolopril Gel,72.87
181,Dexbarb Tab,118
182,Panolol Drops,275.88
183,Levofen Lite,355.75
184,Neotidine Plus,431.71
185,Maxivir Tab,479.91
186,Normab Ointment,88.23
187,Levoquine Drops,311.31
188,Roxixan Ointment,360.61
189,Ultralax Max,446.65
190,Neoolol Lite,297.02
191,Dolosartan Cream,335.19
192,Biotidine Max,402.78
193,Levosartan Ointment,11.95
194,Biopril Cream,113.31
195,Triquine SR,215.83
196,Metaquine Plus,141.71
197,Levovir XR,390.49
198,Levoprazole Cream,278.78
199,Maxilax Ointment,298.68
200,Dexsartan Drops,220.9
201,Zylotidine Lite,491.83
202,Amoxipril Forte,40.73
203,Acucillin Lite,23.82
204,Omnistat Forte,365.69
205,Ultramycin Lite,71.49
206,Norazole Syrup,144.78
207,Omnisartan Syrup,395.47
208,Amoxiolol Plus,46.43
209,Tricillin Cap,280.64
210,Maxistat Cap,138.49
211,Acuzol XR,15.4
212,Dolocillin Tab,394.99
213,Maxiolol Max,331.87
214,Ciproprazole Ointment,65.69
215,Dexsartan Inj,194.02
216,Dolozol Gel,294.32
217,Zyloazole Cream,442.21
218,Omniazole Inj,365.28
219,Roxitidine Ointment,322.27
220,Levocillin Cream,202.46
221,Maximycin Cream,390.17
222,Ciproazole DS,43.7
223,Ultramycin Cream,379.33
224,Maximab Gel,68.44
225,Hydrovir Forte,16.12
226,Tribarb DS,49.69
227,Fluquine Drops,188.77
228,Ultrafen DS,7.52
229,Dolozol Cap,258.85
230,Acuxan Inj,324.14
231,Panzone Gel,96.81
232,Ultrafen Drops,311.53
233,Fluzone Lite,255.99
234,Zyloquine Syrup,476.12
235,Neopril Max,189.54
236,Hydroprazole Inj,391.21
237,Hydromab Syrup,498.24
238,Levocept Tab,169.7
239,Cipromycin Cream,55.08
240,Metazone Plus,203.08
241,Ciprofen Tab,291.56
242,Claribarb Cream,446.33
243,Panmycin Tab,372.38
244,Norfen XR,472.61
245,Roxicillin Forte,381.8
246,Zylotidine Ointment,339.52
247,Hydrozone Lite,241.04
248,Levovir Plus,88.57
249,Dexmab Lite,26.05
250,Ciprocillin Inj,34.57
251,Omnimycin Cap,72.56
252,Panzone Drops,321.29
253,Ultraxan Syrup,74.34
254,Neocillin Gel,153.38
255,Biomab Plus,480.53
256,Hydropril Inj,202.16
257,Bioazole Drops,351.75
258,Biocillin Ointment,178.91
259,Dexlax Drops,145.58
260,Biozol Drops,330.2
261,Amoxipril Syrup,407.72
262,Ultramab Gel,152.16
263,Roxiquine Lite,193.45
264,Flucept XR,74.65
265,Bioprazole Lite,180.4
266,Biotidine Gel,184.95
267,Metazol Gel,196.74
268,Triprazole Tab,449.08
269,Ultrafen Plus,61.19
270,Biobarb Ointment,158.69
271,Neozone Forte,37.97
272,Omnilax Max,123.98
273,Acuolol Cap,54.03
274,Zylozol DS,117.35
275,Fluazole Max,349.14
276,Zylofen Drops,171.62
277,Neoxan Syrup,451.97
278,Amoxiquine Syrup,433.65
279,Zylobarb SR,187.17
280,Ultraolol Cap,325.48
281,Panquine DS,184.96
282,Maxiquine Gel,370.77
283,Amoxiolol Cap,439.9
284,Hydroprazole Max,302.13
285,Dolotidine Tab,132.11
286,Hydroolol Cap,10.82
287,Amoxifen Cap,97.45
288,Ultrazol Syrup,386.69
289,Trizol Max,296.38
290,Ultracept Syrup,165.39
291,Levotidine Max,14.07
292,Panstat Lite,128.71
293,Doloolol Gel,84.59
294,Roxicillin Syrup,382.34
295,Omniazole XR,401.31
296,Trilax Ointment,206.11
297,Fluolol Inj,388.72
298,Levoolol Gel,259.89
299,Metaquine DS,435.2
300,Amoximab Plus,329.51
301,Pancillin Lite,239.13
302,Zylotidine Tab,439.76
303,Ultracept Cap,271.33
304,Trimycin Inj,114.77
305,Levozol Lite,457.82
306,Roxibarb Drops,490.27
307,Ciprosartan Cap,245.26
308,Ciprozone Cap,69.91
309,Acuquine Tab,106.38
310,Flumycin DS,308.33
311,Doloprazole Max,406.39
312,Norvir Ointment,153.95
313,Flucept Inj,179.98
314,Amoximycin Plus,399.28
315,Biopril Drops,496.13
316,Norvir Tab,54.05
317,Hydroquine Gel,185.76
318,Norzone Inj,105.25
319,Dexvir Cap,165.5
320,Roxiquine SR,177.02
321,Neocept DS,464.41
322,Roxifen Gel,189.36
323,Panzol Plus,306.94
324,Neocept Inj,8.16
325,Dexsartan XR,137.35
326,Fludine Gel,344.92
327,Omnistat Drops,103.51
328,Acuzol Drops,352.42
329,Metacillin Inj,225.88
330,Norazole XR,415.75
331,Levocillin Ointment,151.42
332,Neocept Gel,328.44
333,Omnicept Syrup,252.92
334,Ciprodine Ointment,186.96
335,Pantidine Cream,50.89
336,Zylostat Cream,166.29
337,Dexquine Forte,301.3
338,Metabarb Tab,87.86
339,Norxan Syrup,13.59
340,Neoazole Forte,57.36
341,Trivir Ointment,472.15
342,Omnimycin XR,419.63
343,Norolol Inj,150.8
344,Dolofen Cream,267.46
345,Dexcept Ointment,205.22
346,Acufen Inj,192.92
347,Hydrolax Plus,219.71
348,Acucept DS,73.05
349,Neoazole Gel,203.58
350,Roximab Plus,230.68
351,Panprazole Ointment,383.27
352,Normycin SR,71.14
353,Cipromycin Lite,82.04
354,Maxixan Cap,240.51
355,Dexolol Max,206.25
356,Nortidine Ointment,458.19
357,Roximycin Cream,219.46
358,Ciproquine DS,497.82
359,Norzone Tab,291.8
360,Normab Cream,334.57
361,Metazone Syrup,336.38
362,Acucept Cream,20.18
363,Roxizol Syrup,485.2
364,Roxizol Forte,345.04
365,Bioquine Ointment,6.78
366,Triazole XR,436.73
367,Ciproazole Plus,255.43
368,Zylostat Gel,377.51
369,Levodine Syrup,215.87
370,Hydrocillin SR,75.36
371,Zylofen Cream,150.19
372,Clarizone Forte,412.86
373,Hydrotidine Forte,209.25
374,Fluxan Syrup,446.71
375,Acuquine Drops,77.29
376,Norquine Forte,168.33
377,Maxiazole Inj,180.95
378,Levotidine Drops,233.78
379,Normycin Ointment,465.64
380,Norzone Gel,443.98
381,Ciprozol Cap,376.18
382,Panlax DS,426.37
383,Dexvir Gel,40.66
384,Dexzol Tab,407.43
385,Clarixan Cream,121.86
