price_id,variant_id,market_price,date_observed
1,10434,5.99,2026-01-25
2,8476,4.73,2026-01-25
3,11507,0.12,2026-01-25
4,6003,0.49,2026-01-25
5,2714,31.16,2026-01-25
6,22204,15.29,2026-01-25
7,6494,25.10,2026-01-25
8,16885,24.43,2026-01-25
9,22721,0.61,2026-01-25
10,17312,2.40,2026-01-25
11,22925,10.57,2026-01-25
12,21795,17.23,2026-01-25
13,25650,13.41,2026-01-25
14,23389,60.95,2026-01-25
15,14954,59.83,2026-01-25
16,20,395.00,2026-01-25
17,14476,89.76,2026-01-25
18,9842,233.31,2026-01-25
19,7356,44.44,2026-01-25
20,11569,46.05,2026-01-25
21,9172,37.98,2026-01-25
22,26914,35.62,2026-01-25
23,1956,34.99,2026-01-25
24,25272,25.99,2026-01-25
25,25966,50.50,2026-01-25
26,13237,91.66,2026-01-25
27,15784,73.16,2026-01-25
28,606,28.95,2026-01-25
29,26121,44.70,2026-01-25
30,19766,0.32,2026-01-25
31,11669,0.59,2026-01-25
32,16553,1.67,2026-01-25
33,10200,6.47,2026-01-25
34,12737,6.11,2026-01-25
35,2350,34.26,2026-01-25
36,4424,29.92,2026-01-25
37,13680,48.87,2026-01-25
38,4631,26.66,2026-01-25
39,8395,82.07,2026-01-25
40,23239,89.97,2026-01-25
41,773,163.52,2026-01-25
42,20097,43.92,2026-01-25
43,11121,15.23,2026-01-25
44,22599,35.00,2026-01-25
45,23530,17.30,2026-01-25
46,7495,23.64,2026-01-25
47,26115,16.40,2026-01-25
48,6959,0.20,2026-01-25
49,22016,0.91,2026-01-25
50,18688,103.56,2026-01-25
51,6746,120.67,2026-01-25
52,10177,26.82,2026-01-25
53,11080,5.82,2026-01-25
54,6462,3.86,2026-01-25
55,7821,0.73,2026-01-25
56,18146,0.22,2026-01-25
57,17746,0.59,2026-01-25
58,5008,22.13,2026-01-25
59,10192,27.42,2026-01-25
60,9267,83.46,2026-01-25
61,6226,86.25,2026-01-25
62,11989,48.40,2026-01-25
63,6230,6.62,2026-01-25
64,15292,0.15,2026-01-25
65,14446,0.39,2026-01-25
66,22818,0.15,2026-01-25
67,21465,0.30,2026-01-25
68,5504,7.93,2026-01-25
69,13299,8.23,2026-01-25
70,2816,20.05,2026-01-25
71,9377,0.31,2026-01-25
72,25289,2.09,2026-01-25
73,11171,0.12,2026-01-25
74,2062,0.25,2026-01-25
75,22840,327.21,2026-01-25
76,2267,29.16,2026-01-25
77,20282,23.93,2026-01-25
78,15802,0.18,2026-01-25
79,12665,0.33,2026-01-25
80,23497,7.69,2026-01-25
81,6946,10.37,2026-01-25
82,23287,286.66,2026-01-25
83,7192,81.79,2026-01-25
84,768,5.37,2026-01-25
85,10809,12.50,2026-01-25
86,12812,15.96,2026-01-25
87,14080,60.98,2026-01-25
88,20317,0.17,2026-01-25
89,10069,0.42,2026-01-25
90,933,2.00,2026-01-25
91,22988,0.20,2026-01-25
92,16626,0.43,2026-01-25
93,4670,0.13,2026-01-25
94,19431,0.25,2026-01-25
95,24387,22.94,2026-01-25
96,20308,41.70,2026-01-25
97,14121,5.48,2026-01-25
98,23076,0.16,2026-01-25
99,2289,0.83,2026-01-25
100,10538,59.69,2026-01-25
101,25141,60.97,2026-01-25
102,11069,82.99,2026-01-25
103,23584,0.39,2026-01-25
104,7522,3.45,2026-01-25
105,3986,16.21,2026-01-25
106,8545,81.31,2026-01-25
107,12902,0.29,2026-01-25
108,11448,0.66,2026-01-25
109,23340,1.82,2026-01-25
110,26872,8.37,2026-01-25
111,5952,29.04,2026-01-25
112,18140,98.50,2026-01-25
113,12370,166.10,2026-01-25
114,7153,7.16,2026-01-25
115,15073,3.83,2026-01-25
116,16208,104.69,2026-01-25
117,16357,30.10,2026-01-25
118,5076,6.82,2026-01-25
119,10633,9.00,2026-01-25
120,22063,18.59,2026-01-25
121,7268,25.08,2026-01-25
122,19296,8.04,2026-01-25
123,9252,10.58,2026-01-25
124,813,0.17,2026-01-25
125,9316,0.57,2026-01-25
126,9647,0.62,2026-01-25
127,15472,0.94,2026-01-25
128,2693,20.00,2026-01-25
129,5598,29.51,2026-01-25
130,24619,90.00,2026-01-25
131,10367,7.92,2026-01-25
132,24738,17.34,2026-01-25
133,7302,0.39,2026-01-25
134,16267,0.19,2026-01-25
135,9931,852.01,2026-01-25
136,5301,476.04,2026-01-25
137,4623,0.61,2026-01-25
138,24874,1.00,2026-01-25
139,21372,0.13,2026-01-25
140,12111,0.51,2026-01-25
141,19254,0.21,2026-01-25
142,3900,7.55,2026-01-25
143,10237,5.71,2026-01-25
144,15594,3.88,2026-01-25
145,27090,0.36,2026-01-25
146,6967,0.12,2026-01-25
147,7962,12.02,2026-01-25
148,23412,18.66,2026-01-25
149,19330,0.19,2026-01-25
150,10892,0.45,2026-01-25
151,13487,10.35,2026-01-25
152,1497,21.55,2026-01-25
153,11044,13.14,2026-01-25
154,21820,16.73,2026-01-25
155,4415,15.00,2026-01-25
156,26551,0.12,2026-01-25
157,10362,0.25,2026-01-25
158,12907,78.09,2026-01-25
159,546,31.30,2026-01-25
160,12869,138.53,2026-01-25
161,7990,58.13,2026-01-25
162,25987,0.16,2026-01-25
163,781,0.38,2026-01-25
164,11364,132.83,2026-01-25
165,1871,55.57,2026-01-25
166,13610,0.16,2026-01-25
167,4581,0.41,2026-01-25
168,20173,0.26,2026-01-25
169,2299,0.65,2026-01-25
170,23229,22.87,2026-01-25
171,24839,11.90,2026-01-25
172,26155,0.58,2026-01-25
173,1162,0.76,2026-01-25
174,18542,0.30,2026-01-25
175,11020,1.60,2026-01-25
176,8899,55.43,2026-01-25
177,9048,149.99,2026-01-25
178,9794,121.98,2026-01-25
179,17061,16.50,2026-01-25
180,14298,11.00,2026-01-25
181,1019,0.38,2026-01-25
182,9212,6.38,2026-01-25
183,9007,9.50,2026-01-25
184,14045,32.11,2026-01-25
185,17471,48.32,2026-01-25
186,7070,3.06,2026-01-25
187,9962,11.52,2026-01-25
188,21324,7.12,2026-01-25
189,23666,28.54,2026-01-25
190,5765,0.14,2026-01-25
191,27014,0.40,2026-01-25
192,13456,0.24,2026-01-25
193,2030,1.12,2026-01-25
194,4229,0.26,2026-01-25
195,7938,0.46,2026-01-25
196,20048,20.15,2026-01-25
197,1887,14.08,2026-01-25
198,11057,26.87,2026-01-25
199,15765,1.36,2026-01-25
200,10547,0.07,2026-01-25
201,25555,0.21,2026-01-25
202,305,6.51,2026-01-25
203,24168,9.44,2026-01-25
204,1733,10.35,2026-01-25
205,22480,0.44,2026-01-25
206,14350,6.63,2026-01-25
207,9276,45.29,2026-01-25
208,6876,245.83,2026-01-25
209,25783,25.76,2026-01-25
210,13570,569.07,2026-01-25
211,22917,200.00,2026-01-25
212,24136,87.37,2026-01-25
213,26153,159.99,2026-01-25
214,15502,71.62,2026-01-25
215,13429,44.36,2026-01-25
216,901,50.85,2026-01-25
217,14770,4.13,2026-01-25
218,4431,0.20,2026-01-25
219,22673,0.69,2026-01-25
220,6128,330.03,2026-01-25
221,18533,126.97,2026-01-25
222,8826,6.75,2026-01-25
223,332,15.71,2026-01-25
224,5772,28.10,2026-01-25
225,21168,15.29,2026-01-25
226,18755,20.00,2026-01-25
227,10414,2.73,2026-01-25
228,23177,0.50,2026-01-25
229,25991,16.87,2026-01-25
230,918,14.91,2026-01-25
231,6646,18.96,2026-01-25
232,1398,28.41,2026-01-25
233,5610,20.82,2026-01-25
234,10671,9.72,2026-01-25
235,15960,9.78,2026-01-25
236,4448,29.50,2026-01-25
237,14556,8.70,2026-01-25
238,1925,17.02,2026-01-25
239,19850,13.73,2026-01-25
240,14392,0.13,2026-01-25
241,17088,0.28,2026-01-25
242,13315,41.50,2026-01-25
243,16157,35.58,2026-01-25
244,8916,0.33,2026-01-25
245,12920,1.81,2026-01-25
246,12342,0.63,2026-01-25
247,14768,0.97,2026-01-25
248,19172,19.58,2026-01-25
249,324,11.23,2026-01-25
250,231,12.54,2026-01-25
251,14575,16.74,2026-01-25
252,14668,0.39,2026-01-25
253,5752,0.95,2026-01-25
254,9898,10.45,2026-01-25
255,24560,5.74,2026-01-25
256,5072,0.10,2026-01-25
257,17959,0.25,2026-01-25
258,1954,45.25,2026-01-25
259,9936,10.83,2026-01-25
260,22033,153.21,2026-01-25
261,8526,97.96,2026-01-25
262,26476,48.70,2026-01-25
263,16251,35.39,2026-01-25
264,5803,0.14,2026-01-25
265,24701,0.39,2026-01-25
266,2386,32.89,2026-01-25
267,26992,103.00,2026-01-25
268,7423,29.79,2026-01-25
269,19975,181.22,2026-01-25
270,1312,8.43,2026-01-25
271,14050,160.33,2026-01-25
272,16848,199.99,2026-01-25
273,4847,11.29,2026-01-25
274,8698,10.50,2026-01-25
275,14878,12.27,2026-01-25
276,23142,8.00,2026-01-25
277,4600,137.24,2026-01-25
278,12884,67.07,2026-01-25
279,10479,4.89,2026-01-25
280,7820,3.93,2026-01-25
281,13218,31.91,2026-01-25
282,10936,37.98,2026-01-25
283,15688,24.12,2026-01-25
284,758,327.29,2026-01-25
285,15507,3.85,2026-01-25
286,14705,4.87,2026-01-25
287,25396,0.43,2026-01-25
288,4400,5.95,2026-01-25
289,21734,9.15,2026-01-25
290,15553,18.60,2026-01-25
291,9134,0.15,2026-01-25
292,4782,0.29,2026-01-25
293,15456,0.12,2026-01-25
294,1586,0.25,2026-01-25
295,10763,0.27,2026-01-25
296,4978,0.13,2026-01-25
297,4349,2.82,2026-01-25
298,24564,3.13,2026-01-25
299,18045,0.54,2026-01-25
300,22848,1.28,2026-01-25
