card_id,name,supertype,subtypes,set_id,artist_id,rarity_id
swsh6-76,Diglett,Pokémon,"Basic,Rapid Strike",swsh6,224,21
swsh10-142,Gapejaw Bog,Trainer,Stadium,swsh10,145,29
swsh12pt5-33,Corphish,Pokémon,Basic,swsh12pt5,131,21
swsh8-64,Swampert,Pokémon,Stage 2,swsh8,117,34
sm7-158,Scizor-GX,Pokémon,"Stage 1,GX",sm7,76,28
dp4-69,Houndour,Pokémon,Basic,dp4,116,21
svp-152,Chien-Pao,Pokémon,Basic,svp,,38
sv4-47,Wimpod,Pokémon,Basic,sv4,90,21
base5-74,Challenge!,Trainer,,base5,162,29
smp-SM190,Detective Pikachu,Pokémon,Basic,smp,220,38
swsh7-207,Gyarados VMAX,Pokémon,VMAX,swsh7,317,20
sm11-180,Yungoos,Pokémon,Basic,sm11,90,21
hgss3-THREE,Alph Lithograph,Trainer,Item,hgss3,364,27
sv10-98,Probopass,Pokémon,Stage 1,sv10,129,29
sv8pt5-88,Furfrou,Pokémon,Basic,sv8pt5,,21
swsh9-99,Probopass,Pokémon,Stage 1,swsh9,187,29
xyp-XY108,Machamp-EX,Pokémon,"Basic,EX",xyp,297,38
dpp-DP47,Rayquaza C LV.X,Pokémon,"Level-Up,SP",dpp,298,38
ecard3-44,Starmie,Pokémon,Stage 1,ecard3,271,29
pop6-15,Piplup,Pokémon,Basic,pop6,191,21
sm115-68,Jessie & James,Trainer,Supporter,sm115,184,28
swsh8-236,Power Tablet,Trainer,"Item,Fusion Strike",swsh8,334,29
dp3-61,Raticate,Pokémon,Stage 1,dp3,116,29
sm11-200,Hapu,Trainer,Supporter,sm11,116,29
sv4-172,Rika,Trainer,Supporter,sv4,94,29
bw5-93,Dark Patch,Trainer,Item,bw5,76,29
ex4-36,Team Magma's Lairon,Pokémon,Stage 1,ex4,69,29
swsh8-252,Sandaconda V,Pokémon,"Basic,V",swsh8,304,28
swsh7-48,Arctovish V,Pokémon,"Basic,V",swsh7,297,16
dp6-61,Lucario,Pokémon,Stage 1,dp6,284,29
swsh9tg-TG15,Sylveon VMAX,Pokémon,"VMAX,Rapid Strike",swsh9tg,254,25
sv4-193,Plusle,Pokémon,Basic,sv4,140,7
bwp-BW38,Zekrom-EX,Pokémon,"Basic,EX",bwp,298,38
swsh45sv-SV027,Inteleon,Pokémon,Stage 2,swsh45sv,214,9
sv6-210,Sinistcha ex,Pokémon,"Stage 1,ex",sv6,323,5
swsh6-223,Bronzong,Pokémon,Stage 1,swsh6,297,27
sv4-169,Parasol Lady,Trainer,Supporter,sv4,365,21
neo4-39,Dark Quilava,Pokémon,Stage 1,neo4,108,29
bw5-53,Aerodactyl,Pokémon,Restored,bw5,284,2
gym2-21,Blaine's Ninetales,Pokémon,Stage 1,gym2,116,2
bwp-BW85,Lucario,Pokémon,Stage 1,bwp,117,38
swsh4-111,Garbodor,Pokémon,Stage 1,swsh4,264,2
sm6-37,Helioptile,Pokémon,Basic,sm6,189,21
bw1-38,Alomomola,Pokémon,Basic,bw1,254,29
sm8-45,Houndour,Pokémon,Basic,sm8,116,21
cel25c-145_A,Garchomp C LV.X,Pokémon,"Level-Up,SP",cel25c,298,12
sm9-126,Persian,Pokémon,Stage 1,sm9,293,29
np-32,Articuno ex,Pokémon,"Basic,EX",np,240,38
sm10-210,Janine,Trainer,Supporter,sm10,37,28
ecard2-33,Slowbro,Pokémon,Stage 1,ecard2,308,2
