rarity_id,rarity
1,Hyper Rare
2,Rare
3,Rare Holo LV.X
4,Black White Rare
5,Special Illustration Rare
6,Rare Holo Star
7,Illustration Rare
8,Shiny Ultra Rare
9,Rare Shiny
10,Rare Holo GX
11,LEGEND
12,Classic Collection
13,Unknown
14,Double Rare
15,Rare BREAK
16,Rare Holo V
17,Mega Hyper Rare
18,Rare Prism Star
19,ACE SPEC Rare
20,Rare Rainbow
21,Common
22,Radiant Rare
23,Rare Prime
24,Rare Holo VSTAR
25,Rare Holo VMAX
26,Amazing Rare
27,Rare Secret
28,Rare Ultra
29,Uncommon
30,Rare ACE
31,Shiny Rare
32,Ultra Rare
33,Rare Holo EX
34,Rare Holo
35,Rare Shiny GX
36,Rare Shining
37,Trainer Gallery Rare Holo
38,Promo
