set_id,set_name,release_date
bw4,Next Destinies,2012-02-08
ecard1,Expedition Base Set,2002-09-15
ecard3,Skyridge,2003-05-12
sma,Hidden Fates Shiny Vault,2019-08-23
bw10,Plasma Blast,2013-08-14
ex11,Delta Species,2005-10-31
swshp,SWSH Black Star Promos,2019-11-15
sv8pt5,Prismatic Evolutions,2025-01-17
swsh12pt5,Crown Zenith,2023-01-20
pop5,POP Series 5,2007-03-01
xy4,Phantom Forces,2014-11-05
hgss1,HeartGold & SoulSilver,2010-02-10
me2,Phantasmal Flames,2025-11-14
dp6,Legends Awakened,2008-08-01
bw2,Emerging Powers,2011-08-31
xy1,XY,2014-02-05
sm9,Team Up,2019-02-01
sv6pt5,Shrouded Fable,2024-08-02
xy6,Roaring Skies,2015-05-06
swsh7,Evolving Skies,2021-08-27
svp,Scarlet & Violet Black Star Promos,2023-01-01
mcd12,McDonald's Collection 2012,2012-06-15
mcd21,McDonald's Collection 2021,2021-02-09
swsh35,Champion's Path,2020-09-25
xy12,Evolutions,2016-11-02
ecard2,Aquapolis,2003-01-15
xy10,Fates Collide,2016-05-02
dp4,Great Encounters,2008-02-01
col1,Call of Legends,2011-02-09
pl1,Platinum,2009-02-11
pl4,Arceus,2009-11-04
gym2,Gym Challenge,2000-10-16
bw8,Plasma Storm,2013-02-06
sv3pt5,151,2023-09-22
swsh45,Shining Fates,2021-02-19
ru1,Pokémon Rumble,2009-12-02
pop9,POP Series 9,2009-03-01
fut20,Pokémon Futsal Collection,2020-09-11
ex16,Power Keepers,2007-02-02
sm115,Hidden Fates,2019-08-23
xy2,Flashfire,2014-05-07
base3,Fossil,1999-10-10
me1,Mega Evolution,2025-09-26
swsh4,Vivid Voltage,2020-11-13
xy7,Ancient Origins,2015-08-12
cel25,Celebrations,2021-10-08
dp1,Diamond & Pearl,2007-05-01
smp,SM Black Star Promos,2017-02-03
sm11,Unified Minds,2019-08-02
zsv10pt5,Black Bolt,2025-07-18
base1,Base,1999-01-09
sv4pt5,Paldean Fates,2024-01-26
bw5,Dark Explorers,2012-05-09
neo1,Neo Genesis,2000-12-16
sm5,Ultra Prism,2018-02-02
bwp,BW Black Star Promos,2011-03-01
sm75,Dragon Majesty,2018-09-07
ex5,Hidden Legends,2004-06-01
xy5,Primal Clash,2015-02-04
sm3,Burning Shadows,2017-08-05
bw7,Boundaries Crossed,2012-11-07
np,Nintendo Black Star Promos,2003-10-01
pl2,Rising Rivals,2009-05-16
xy11,Steam Siege,2016-08-03
sm6,Forbidden Light,2018-05-04
pop4,POP Series 4,2006-08-01
sv5,Temporal Forces,2024-03-22
ex1,Ruby & Sapphire,2003-07-01
swsh12tg,Silver Tempest Trainer Gallery,2022-11-11
swsh45sv,Shining Fates Shiny Vault,2021-02-19
sm10,Unbroken Bonds,2019-05-03
ex9,Emerald,2005-05-01
sm12,Cosmic Eclipse,2019-11-01
dp3,Secret Wonders,2007-11-01
swsh9,Brilliant Stars,2022-02-25
ex13,Holon Phantoms,2006-05-01
si1,Southern Islands,2001-07-31
dp2,Mysterious Treasures,2007-08-01
swsh3,Darkness Ablaze,2020-08-14
pop7,POP Series 7,2008-03-01
sm4,Crimson Invasion,2017-11-03
neo4,Neo Destiny,2002-02-28
ex2,Sandstorm,2003-09-18
pop1,POP Series 1,2004-09-01
xy3,Furious Fists,2014-08-13
ex12,Legend Maker,2006-02-01
dp5,Majestic Dawn,2008-05-01
swsh12pt5gg,Crown Zenith Galarian Gallery,2023-01-20
bw6,Dragons Exalted,2012-08-15
bp,Best of Game,2002-12-01
sv9,Journey Together,2025-03-28
det1,Detective Pikachu,2019-04-05
bw3,Noble Victories,2011-11-16
swsh11,Lost Origin,2022-09-09
neo2,Neo Discovery,2001-06-01
bw1,Black & White,2011-04-25
swsh8,Fusion Strike,2021-11-12
mcd19,McDonald's Collection 2019,2019-10-15
rsv10pt5,White Flare,2025-07-18
swsh5,Battle Styles,2021-03-19
bw9,Plasma Freeze,2013-05-08
sm1,Sun & Moon,2017-02-03
pl3,Supreme Victors,2009-08-19
mcd22,McDonald's Collection 2022,2022-08-03
ex6,FireRed & LeafGreen,2004-09-01
ex4,Team Magma vs Team Aqua,2004-03-01
hgss3,HS—Undaunted,2010-08-18
sv3,Obsidian Flames,2023-08-11
base6,Legendary Collection,2002-05-24
swsh10tg,Astral Radiance Trainer Gallery,2022-05-27
sm7,Celestial Storm,2018-08-03
ex3,Dragon,2003-11-24
swsh11tg,Lost Origin Trainer Gallery,2022-09-09
sv7,Stellar Crown,2024-09-13
sm35,Shining Legends,2017-10-06
mcd11,McDonald's Collection 2011,2011-06-17
dpp,DP Black Star Promos,2007-05-01
hgss2,HS—Unleashed,2010-05-12
sm8,Lost Thunder,2018-11-02
dv1,Dragon Vault,2012-10-05
pop6,POP Series 6,2007-09-01
g1,Generations,2016-02-22
dp7,Stormfront,2008-11-01
swsh2,Rebel Clash,2020-05-01
ex15,Dragon Frontiers,2006-11-01
xy9,BREAKpoint,2016-02-03
base5,Team Rocket,2000-04-24
pop8,POP Series 8,2008-09-01
gym1,Gym Heroes,2000-08-14
sv8,Surging Sparks,2024-11-08
xy8,BREAKthrough,2015-11-04
pop2,POP Series 2,2005-08-01
swsh6,Chilling Reign,2021-06-18
sv2,Paldea Evolved,2023-06-09
swsh10,Astral Radiance,2022-05-27
neo3,Neo Revelation,2001-09-21
pgo,Pokémon GO,2022-07-01
basep,Wizards Black Star Promos,1999-07-01
xyp,XY Black Star Promos,2013-10-12
hgss4,HS—Triumphant,2010-11-03
bw11,Legendary Treasures,2013-11-06
sv1,Scarlet & Violet,2023-03-31
sv4,Paradox Rift,2023-11-03
ex8,Deoxys,2005-02-01
ex14,Crystal Guardians,2006-08-01
swsh1,Sword & Shield,2020-02-07
swsh9tg,Brilliant Stars Trainer Gallery,2022-02-25
pop3,POP Series 3,2006-04-01
ex10,Unseen Forces,2005-08-01
dc1,Double Crisis,2015-03-25
swsh12,Silver Tempest,2022-11-11
cel25c,Celebrations: Classic Collection,2021-10-08
ex7,Team Rocket Returns,2004-11-01
