variant_id,card_id,variant
2,sm10-184,holofoil
5,sv6pt5-99,holofoil
6,bw1-21,normal
7,sv3-108,normal
8,sm12-266,holofoil
10,g1-35,holofoil
11,base5-11,unlimitedHolofoil
12,g1-46,holofoil
13,ex15-98,holofoil
14,sm11-232,holofoil
16,swsh11tg-TG07,holofoil
17,pl3-117,normal
20,ex3-1,holofoil
21,sv1-46,normal
23,xy3-63,holofoil
25,swsh10-206,holofoil
26,dp7-93,normal
27,sv7-46,normal
29,sv7-74,normal
31,sv3-214,holofoil
32,sv7-4,normal
33,ex3-68,normal
36,neo3-45,1stEdition
37,bw10-88,normal
38,sm5-73,normal
39,swsh2-132,normal
40,xy2-61,normal
42,sv8-238,holofoil
44,pl4-39,normal
46,me2-33,normal
47,swsh2-205,holofoil
48,sv8pt5-24,normal
49,dp2-31,normal
50,ex2-84,normal
51,swsh7-169,holofoil
53,ex16-46,normal
54,sm11-80,normal
57,swsh10-160,holofoil
59,base1-99,normal
60,xy12-97,normal
61,sm35-69,normal
62,ex9-5,holofoil
64,neo1-64,1stEdition
66,col1-71,normal
70,xy12-90,normal
72,swsh45-14,normal
74,sm9-99,holofoil
76,swsh45-2,normal
77,ex11-75,normal
79,hgss3-9,holofoil
80,me1-129,normal
81,sv4pt5-32,normal
85,sv4-12,normal
86,gym2-6,1stEditionHolofoil
87,base6-77,normal
92,dp2-86,normal
93,dp7-37,normal
94,swsh12pt5-76,holofoil
96,base2-47,unlimited
100,sv10-116,normal
101,swsh12pt5gg-GG32,holofoil
103,rsv10pt5-145,holofoil
104,ex6-75,normal
105,hgss4-79,normal
107,ex11-81,normal
108,swsh12-42,normal
109,swsh9-163,holofoil
110,bw9-61,normal
111,smp-SM242,holofoil
112,sm9-140,holofoil
113,neo1-10,1stEditionHolofoil
114,bw6-61,normal
116,bwp-BW15,normal
117,rsv10pt5-80,normal
118,pop6-15,normal
119,pop7-4,normal
120,sv4pt5-38,normal
121,ex13-70,normal
122,swsh4-24,normal
123,swsh3-57,normal
125,swsh3-87,normal
126,bw10-83,normal
128,xy9-60,normal
129,xy0-10,holofoil
131,swsh45-12,normal
132,sm1-162,holofoil
133,pl1-52,normal
134,swsh6-205,holofoil
137,swsh7-110,holofoil
140,neo1-3,unlimitedHolofoil
141,zsv10pt5-24,normal
143,swsh10-152,normal
147,sv3-183,normal
148,swsh12pt5gg-GG15,holofoil
149,ecard1-155,normal
153,swsh8-96,normal
157,ex4-50,normal
158,rsv10pt5-29,normal
161,swsh7-177,holofoil
163,ex10-16,holofoil
164,swsh12tg-TG26,holofoil
165,swsh9-170,holofoil
168,xy12-93,normal
169,smp-SM17,holofoil
170,bw11-73,normal
173,xy1-68,normal
174,xyp-XY198,holofoil
175,xy8-116,normal
178,hgss1-104,normal
181,swsh12-53,normal
182,swsh10-117,holofoil
183,sv3pt5-203,holofoil
184,sm11-247,holofoil
185,bwp-BW58,holofoil
186,gym2-97,unlimited
187,sm8-66,normal
191,sv8-92,holofoil
192,swshp-SWSH274,holofoil
194,xy1-62,holofoil
195,sm9-73,normal
196,neo4-78,unlimited
197,zsv10pt5-38,normal
198,ex1-105,normal
203,rsv10pt5-140,holofoil
204,sm5-109,normal
206,sv7-157,holofoil
207,swsh8-59,normal
208,swshp-SWSH279,holofoil
210,sm10-215,holofoil
211,sv6pt5-86,holofoil
213,svp-32,holofoil
218,sv5-130,normal
219,ex13-111,holofoil
224,gym1-47,unlimited
225,g1-27,holofoil
226,swsh8-73,holofoil
229,ex2-87,normal
230,swsh8-63,normal
231,ex12-4,holofoil
232,swsh12pt5-95,holofoil
233,ex10-49,normal
234,swsh7-99,normal
235,ecard2-43,normal
237,basep-21,normal
239,swsh4-192,holofoil
240,rsv10pt5-88,holofoil
243,sm115-25,normal
244,sv3pt5-121,holofoil
246,sm11-6,normal
247,base1-82,normal
250,sv8pt5-170,holofoil
251,sm11-238,holofoil
252,sm12-115,holofoil
253,g1-79,normal
255,dp2-5,holofoil
256,swsh12-59,holofoil
257,smp-SM129,holofoil
258,swsh10-90,normal
259,sv6-167,holofoil
260,xy10-50,normal
261,gym2-39,unlimited
263,sm6-88,normal
264,zsv10pt5-67,holofoil
265,sv8-200,holofoil
266,sv6-22,holofoil
269,sv6-141,holofoil
272,swsh2-66,holofoil
273,sm35-39,holofoil
274,xy4-93,normal
275,sv8-43,normal
276,ecard3-42,normal
277,base2-48,unlimited
278,ex7-67,normal
279,sma-SV16,holofoil
286,bw6-96,normal
287,sv9-53,holofoil
288,xyp-XY188,holofoil
289,sm8-154,holofoil
291,neo3-46,1stEdition
292,me1-32,normal
293,bw6-119,holofoil
294,cel25-3,holofoil
296,sv4-164,normal
297,sv8pt5-84,normal
300,sv2-70,normal
301,swsh1-115,holofoil
303,swsh7-144,normal
304,swsh45-31,normal
305,xy1-1,holofoil
306,sv1-20,normal
307,sm12-130,normal
309,swsh12-84,normal
310,swsh6-21,holofoil
311,xy4-69,holofoil
312,xy5-72,normal
313,neo3-26,unlimited
314,ex9-94,holofoil
316,sv10-101,holofoil
317,xy0-6,normal
318,g1-3,normal
319,swsh12pt5gg-GG28,holofoil
322,sm7-9,normal
325,sv4-51,normal
326,sv4pt5-219,holofoil
327,sm3-105,holofoil
328,dp6-115,normal
329,sm11-86,holofoil
331,sv3pt5-87,normal
332,ex9-3,holofoil
334,swsh6-145,normal
340,xy0-17,normal
342,bw6-39,normal
343,ex12-37,normal
345,sv8-20,normal
346,swsh12pt5-123,holofoil
347,swsh12pt5gg-GG03,holofoil
348,swsh5-161,holofoil
349,sv5-196,holofoil
354,swsh4-62,normal
358,ex16-72,normal
362,sv3-127,normal
363,sv4-17,normal
365,swsh12pt5-30,normal
368,dp6-94,normal
369,sm11-39,normal
371,dp5-9,holofoil
372,sv3pt5-18,normal
373,smp-SM111,normal
374,bw1-61,normal
375,sm1-52,holofoil
376,sm2-5,normal
378,swsh5-79,normal
379,ex11-59,normal
380,sv4pt5-36,normal
381,sv3pt5-91,normal
384,sm5-57,normal
385,sm11-249,holofoil
386,swsh12-7,holofoil
387,swsh8-275,holofoil
389,sm2-40,normal
390,bw2-7,normal
392,sv3pt5-29,normal
393,gym2-61,unlimited
394,swsh45-49,normal
395,dp6-137,normal
396,hgss3-23,normal
397,sv8pt5-8,holofoil
398,smp-SM168,holofoil
402,ecard3-H22,holofoil
403,xyp-XY40,holofoil
405,swshp-SWSH014,holofoil
406,sv8-156,normal
407,sv5-143,normal
408,sm3-23,normal
412,sv3pt5-127,normal
413,sm10-68,normal
414,bw4-41,holofoil
416,swsh2-60,normal
417,swsh35-6,normal
419,ex7-96,holofoil
422,swsh1-45,normal
425,hgss1-54,normal
426,sv5-94,normal
427,smp-SM108,normal
428,swsh9-137,normal
432,sv8-101,normal
433,sv6-35,normal
434,xy6-21,normal
