issue_id,series_id,issue_number,title,publish_date,cover_price,page_count,notes
1,109,581,Oblivion of Holt,2024-10-06,0.12,28,Low distribution; considered scarce.
2,279,674,Dawn of Cross,1966-08-22,1.5,24,High print run; common in collections.
3,74,408,Shadows of Burns,2023-12-29,0.35,100,High print run; common in collections.
4,291,694,Descent of Flynn,1970-06-16,2.5,32,Landmark story milestone.
5,257,355,Dawn of Kane,2006-09-20,2.99,36,Landmark story milestone.
6,175,788,Shattered of Price,1978-10-14,2.5,44,Key first appearance issue.
7,140,462,Oblivion of Vale,1994-10-15,1.95,80,Direct edition only; no newsstand version.
8,222,697,Reborn of Ward,1997-05-02,0.15,100,Low distribution; considered scarce.
9,127,76,Shadows of Holt,2023-12-29,0.25,48,Controversial issue banned in three states.
10,200,370,Rising of Voss,1983-05-30,0.1,40,Contains bonus pin-up gallery.
11,185,277,Rising of Steele,2001-07-16,0.15,32,Direct edition only; no newsstand version.
12,230,569,Resurgence of Crane,1972-06-28,0.2,24,Landmark story milestone.
13,182,96,Shattered of Price,2002-09-21,1.5,48,Key first appearance issue.
14,150,398,Shadows of Grant,2014-07-24,0.75,100,Double-sized anniversary issue.
15,87,174,Fallen of Holt,2003-02-27,1.25,40,Contains bonus pin-up gallery.
16,75,172,Legacy of Holt,1973-11-02,2.99,40,Contains bonus pin-up gallery.
17,40,258,Revelation of Stark,1947-01-10,0.5,64,Landmark story milestone.
18,70,7,Nemesis of Flynn,1960-08-31,2.5,44,Contains bonus pin-up gallery.
19,172,667,Shattered of Steele,1983-08-29,1.25,44,Reprints classic story with new framing pages.
20,103,322,Convergence of Ward,1955-05-17,1.5,40,Contains bonus pin-up gallery.
21,295,334,Nemesis of Holt,1943-05-12,2.5,44,Landmark story milestone.
22,289,607,Descent of Cross,1994-06-25,0.1,64,High print run; common in collections.
23,225,710,Shadows of Crane,1986-01-26,4.99,32,Low distribution; considered scarce.
24,124,675,Fallen of Crane,1946-09-01,2.5,28,Contains bonus pin-up gallery.
25,246,411,Descent of Cole,2009-02-12,2.99,80,Key first appearance issue.
26,185,550,Shattered of Voss,2000-11-13,0.2,36,Part of a crossover event.
27,86,577,Nemesis of Flynn,1999-12-27,2.99,28,Key first appearance issue.
28,51,228,Resurgence of Cole,2014-10-21,0.75,64,Part of a crossover event.
29,201,791,Reborn of Cole,2015-05-22,0.25,44,Key first appearance issue.
30,248,303,Legacy of Voss,2011-03-05,0.2,32,Part of a crossover event.
31,160,467,Uprising of Cole,1952-12-17,4.99,44,Contains bonus pin-up gallery.
32,50,740,Fracture of Flynn,1977-04-23,0.15,40,Key first appearance issue.
33,59,352,Rising of Cross,1990-01-06,0.75,80,Controversial issue banned in three states.
34,283,339,Descent of Crane,1970-10-18,3.99,36,Direct edition only; no newsstand version.
35,95,656,Legacy of Ward,1988-09-20,0.1,100,High print run; common in collections.
36,231,440,Nemesis of Morgan,2001-07-25,0.5,36,Low distribution; considered scarce.
37,33,105,Descent of Cross,1984-03-28,1.95,44,High print run; common in collections.
38,235,269,Oblivion of Cole,2006-07-22,1.5,100,Direct edition only; no newsstand version.
39,201,117,Inferno of Nash,2018-03-02,3.99,100,Controversial issue banned in three states.
40,153,689,Fallen of Flynn,1968-12-13,0.2,36,Low distribution; considered scarce.
41,60,383,Fallen of Cole,1962-01-19,2.5,48,Reprints classic story with new framing pages.
42,71,393,Legacy of Cross,2020-07-27,4.99,80,Controversial issue banned in three states.
43,285,502,Vendetta of Steele,1972-06-26,0.35,44,Contains bonus pin-up gallery.
44,28,368,Reckoning of Stark,2019-10-29,0.25,36,Direct edition only; no newsstand version.
45,288,669,Oblivion of Crane,2012-09-03,4.99,48,Contains bonus pin-up gallery.
46,251,85,Reborn of Morgan,1958-01-02,0.75,40,Key first appearance issue.
47,141,551,Vendetta of Cross,1980-02-01,3.99,100,Contains bonus pin-up gallery.
48,282,116,Reborn of Kane,1998-11-30,1,80,Part of a crossover event.
49,278,43,Fracture of Grant,1980-12-21,0.5,48,Landmark story milestone.
50,127,34,Fracture of Holt,2014-09-04,1.95,28,Contains bonus pin-up gallery.
51,61,243,Uprising of Hunt,1995-05-25,1.95,100,Direct edition only; no newsstand version.
52,85,143,Uprising of Stone,2023-08-22,0.12,100,Part of a crossover event.
53,273,612,Descent of Cross,1964-03-20,1.5,40,Low distribution; considered scarce.
54,294,527,Rising of Steele,2012-12-31,2.99,24,Low distribution; considered scarce.
55,65,136,Revelation of Steele,2016-12-05,1.5,36,Direct edition only; no newsstand version.
56,251,592,Chaos of Crane,1955-10-03,2.5,64,Landmark story milestone.
57,48,528,Chaos of Nash,1992-01-27,3.99,64,Part of a crossover event.
58,298,793,Shadows of Fox,1950-01-11,1.95,28,Double-sized anniversary issue.
59,204,440,Uprising of Stark,1989-11-20,1,44,Low distribution; considered scarce.
60,173,592,Fallen of Hunt,2023-07-21,4.99,44,Key first appearance issue.
61,24,642,Fracture of Morgan,1968-07-22,0.2,32,Contains bonus pin-up gallery.
62,234,439,Uprising of Steele,1990-01-02,1.25,32,Low distribution; considered scarce.
63,48,257,Shadows of Nash,1990-03-03,0.35,24,Direct edition only; no newsstand version.
64,157,774,Revelation of Crane,2021-12-17,0.15,28,Key first appearance issue.
65,110,80,Fallen of Hunt,2018-05-08,0.75,80,Contains bonus pin-up gallery.
66,5,713,Eclipse of Kane,1957-09-22,2.99,32,Contains bonus pin-up gallery.
67,37,393,Shadows of Kane,1981-04-09,0.2,44,Part of a crossover event.
68,154,392,Fallen of Steele,1997-02-24,0.15,80,Reprints classic story with new framing pages.
69,5,666,Convergence of Fox,2011-10-03,1.95,36,Controversial issue banned in three states.
