issue_id,character_id,appearance
2417,207,Main
500,60,Main
784,320,Supporting
861,588,Main
2602,488,Main
532,148,Main
1483,597,Supporting
348,370,Supporting
1954,579,Cameo
813,397,Cameo
1818,535,Supporting
1400,254,Cameo
1813,149,Flashback
244,400,Cameo
2532,392,Supporting
548,268,Supporting
2017,191,Supporting
426,223,Main
2788,336,Supporting
691,336,Main
1195,218,Main
754,96,Cameo
481,164,Main
2238,188,Supporting
690,97,Main
1273,480,Main
2708,328,Death
1157,255,Main
383,158,Main
2877,368,Supporting
1202,197,Main
2852,283,Main
882,188,Main
1911,527,Flashback
2625,113,Cameo
1354,31,Cameo
2391,571,Supporting
2446,277,Supporting
216,554,Supporting
339,416,Supporting
1890,165,Main
877,412,Supporting
1525,103,Supporting
180,476,Main
1532,65,Main
895,296,Supporting
1481,435,Main
2427,293,Main
1179,7,Cameo
1236,429,Main
1135,377,Main
801,501,Supporting
158,124,Supporting
399,334,Main
36,6,Main
1216,37,Supporting
396,180,Cameo
2406,588,Main
610,234,Cameo
1587,113,Supporting
456,375,Main
1912,454,Main
1177,135,Main
2174,514,Main
1856,577,Supporting
2626,315,Main
1427,161,Main
39,250,Cameo
2836,321,Supporting
82,108,Main
685,583,Main
207,106,Cameo
2889,167,Cameo
2517,242,Main
2581,364,Supporting
619,143,Main
684,86,Cameo
1519,78,Main
2260,554,Cameo
2,556,Supporting
202,398,Main
1527,232,Main
385,277,Cameo
100,562,Supporting
1235,359,Main
2632,565,Main
1649,549,Supporting
360,496,Supporting
1074,504,Supporting
1970,258,Supporting
2977,341,Main
1216,271,Supporting
2652,560,Supporting
1635,235,Supporting
1550,31,Main
1619,583,Main
2839,429,Main
2286,476,Main
299,357,Main
2542,357,Main
1711,251,Cameo
1377,305,Main
2910,444,Main
2584,341,Main
1134,312,Main
1906,354,Supporting
2102,65,Supporting
2573,414,Main
557,308,Cameo
857,204,Main
2198,362,Main
472,131,Death
1065,525,Death
2915,103,Main
1723,543,Main
102,348,Main
1695,8,Main
2358,578,Supporting
793,150,Cameo
2637,66,Supporting
1116,412,Main
1615,212,Flashback
2175,152,Main
2454,48,Main
2155,455,Supporting
376,450,Flashback
1693,551,Main
2075,578,Flashback
478,23,Main
162,558,Main
1276,34,Main
2182,597,Main
1719,341,Supporting
74,44,Supporting
1021,66,Supporting
2180,324,Main
2278,163,Main
1111,145,Main
2099,387,Main
218,465,Main
2143,399,Main
1449,417,Cameo
1946,521,Flashback
368,398,Flashback
218,449,Main
1810,249,Main
2050,380,Main
2017,473,Supporting
1949,274,Supporting
1043,1,Supporting
676,185,Supporting
354,541,Main
604,419,Cameo
27,387,Main
1777,522,Main
2893,447,Main
2144,183,Cameo
1260,108,Cameo
2862,473,Supporting
1649,519,Death
1078,173,Supporting
2007,524,Supporting
663,336,Cameo
2151,405,Cameo
2831,159,Supporting
499,367,Main
507,373,Main
1947,447,Main
2333,390,Main
720,548,Flashback
562,369,Main
1426,341,Cameo
271,270,Main
1479,518,Main
1101,205,Flashback
2436,354,Main
422,555,Supporting
971,109,Cameo
1487,255,Main
2723,524,Supporting
1559,378,Main
855,237,Supporting
2301,46,Main
446,107,Main
711,373,Death
2103,437,Supporting
1345,422,Main
1943,104,Cameo
1852,374,Cameo
513,308,Cameo
2757,47,Supporting
2866,360,Supporting
443,253,Supporting
2309,236,Main
1928,267,Supporting
2379,373,Cameo
175,50,Main
263,553,Cameo
2590,58,Main
1758,38,Main
2043,532,Main
1542,239,Cameo
2156,410,Main
2951,439,Main
