issue_id,creator_id,role
1,328,Writer
1,58,Penciler
2,13,Writer
2,380,Penciler
3,141,Writer
3,126,Penciler
4,115,Writer
4,72,Penciler
5,378,Writer
5,53,Penciler
6,347,Writer
6,380,Penciler
7,457,Writer
7,280,Penciler
8,45,Writer
8,303,Penciler
9,217,Writer
9,17,Penciler
10,16,Writer
10,48,Penciler
11,112,Writer
11,120,Penciler
12,259,Writer
12,309,Penciler
13,14,Writer
13,288,Penciler
14,102,Writer
14,367,Penciler
15,333,Writer
15,360,Penciler
16,280,Writer
16,215,Penciler
17,113,Writer
17,230,Penciler
18,302,Writer
18,143,Penciler
19,415,Writer
19,446,Penciler
20,4,Writer
20,389,Penciler
21,413,Writer
21,82,Penciler
22,358,Writer
22,217,Penciler
23,175,Writer
23,143,Penciler
24,80,Writer
24,111,Penciler
25,491,Writer
25,391,Penciler
26,173,Writer
26,53,Penciler
27,48,Writer
27,195,Penciler
28,50,Writer
28,184,Penciler
29,434,Writer
29,177,Penciler
30,310,Writer
30,136,Penciler
31,414,Writer
31,23,Penciler
32,374,Writer
32,236,Penciler
33,275,Writer
33,64,Penciler
34,499,Writer
34,473,Penciler
35,194,Writer
35,41,Penciler
36,283,Writer
36,151,Penciler
37,425,Writer
37,322,Penciler
38,317,Writer
38,454,Penciler
39,442,Writer
39,186,Penciler
40,296,Writer
40,99,Penciler
41,361,Writer
41,36,Penciler
42,24,Writer
42,339,Penciler
43,117,Writer
43,396,Penciler
44,149,Writer
44,41,Penciler
45,438,Writer
45,120,Penciler
46,444,Writer
46,52,Penciler
47,195,Writer
47,143,Penciler
48,233,Writer
48,326,Penciler
49,428,Writer
49,187,Penciler
50,84,Writer
50,190,Penciler
51,182,Writer
51,108,Penciler
52,344,Writer
52,137,Penciler
53,360,Writer
53,480,Penciler
54,350,Writer
54,332,Penciler
55,37,Writer
55,312,Penciler
56,326,Writer
56,88,Penciler
57,274,Writer
57,374,Penciler
58,126,Writer
58,84,Penciler
59,237,Writer
59,195,Penciler
60,139,Writer
60,474,Penciler
61,328,Writer
61,353,Penciler
62,286,Writer
62,113,Penciler
63,351,Writer
63,167,Penciler
64,432,Writer
64,394,Penciler
65,398,Writer
65,29,Penciler
66,118,Writer
66,421,Penciler
67,17,Writer
67,413,Penciler
68,162,Writer
68,206,Penciler
69,138,Writer
69,34,Penciler
70,109,Writer
70,468,Penciler
71,483,Writer
71,291,Penciler
72,449,Writer
72,368,Penciler
73,162,Writer
73,109,Penciler
74,336,Writer
74,256,Penciler
75,203,Writer
75,453,Penciler
76,469,Writer
76,330,Penciler
77,235,Writer
77,74,Penciler
78,136,Writer
78,72,Penciler
79,127,Writer
79,382,Penciler
80,288,Writer
80,276,Penciler
81,135,Writer
81,383,Penciler
82,300,Writer
82,220,Penciler
83,460,Writer
83,299,Penciler
84,205,Writer
84,186,Penciler
85,113,Writer
85,71,Penciler
86,261,Writer
86,253,Penciler
87,47,Writer
87,387,Penciler
88,25,Writer
88,441,Penciler
89,57,Writer
89,79,Penciler
90,322,Writer
90,82,Penciler
91,406,Writer
91,349,Penciler
92,217,Writer
92,306,Penciler
93,33,Writer
93,198,Penciler
94,196,Writer
94,306,Penciler
95,240,Writer
95,271,Penciler
96,129,Writer
96,498,Penciler
97,284,Writer
97,441,Penciler
98,483,Writer
98,6,Penciler
99,349,Writer
99,370,Penciler
100,59,Writer
100,350,Penciler
101,454,Writer
101,275,Penciler
102,385,Writer
102,137,Penciler
103,394,Writer
103,329,Penciler
104,175,Writer
104,58,Penciler
105,151,Writer
105,223,Penciler
106,81,Writer
106,233,Penciler
107,2,Writer
107,489,Penciler
108,370,Writer
108,449,Penciler
109,369,Writer
109,135,Penciler
110,498,Writer
110,257,Penciler
111,391,Writer
111,92,Penciler
112,260,Writer
112,468,Penciler
113,55,Writer
113,446,Penciler
114,321,Writer
114,153,Penciler
115,431,Writer
115,328,Penciler
116,260,Writer
116,312,Penciler
117,102,Writer
117,79,Penciler
118,192,Writer
118,391,Penciler
119,83,Writer
119,277,Penciler
120,489,Writer
120,399,Penciler
121,473,Writer
121,272,Penciler
122,471,Writer
122,1,Penciler
123,307,Writer
123,166,Penciler
124,251,Writer
124,10,Penciler
125,58,Writer
125,476,Penciler
126,186,Writer
126,450,Penciler
127,426,Writer
127,414,Penciler
128,158,Writer
128,123,Penciler
129,30,Writer
129,124,Penciler
130,450,Writer
130,291,Penciler
131,485,Writer
131,41,Penciler
132,44,Writer
132,375,Penciler
133,249,Writer
133,418,Penciler
134,36,Writer
134,390,Penciler
135,273,Writer
135,393,Penciler
136,65,Writer
136,66,Penciler
137,338,Writer
137,244,Penciler
138,485,Writer
138,282,Penciler
139,85,Writer
139,136,Penciler
140,271,Writer
140,447,Penciler
141,311,Writer
141,217,Penciler
142,494,Writer
142,109,Penciler
143,476,Writer
143,277,Penciler
144,387,Writer
144,374,Penciler
145,354,Writer
145,103,Penciler
146,366,Writer
146,160,Penciler
147,205,Writer
147,344,Penciler
148,333,Writer
148,192,Penciler
149,225,Writer
149,461,Penciler
150,265,Writer
150,232,Penciler
151,62,Writer
151,127,Penciler
152,116,Writer
152,33,Penciler
153,174,Writer
153,11,Penciler
154,302,Writer
154,284,Penciler
155,118,Writer
155,302,Penciler
156,113,Writer
156,4,Penciler
157,37,Writer
157,363,Penciler
158,324,Writer
158,31,Penciler
159,118,Writer
159,35,Penciler
160,464,Writer
160,17,Penciler
161,441,Writer
161,170,Penciler
162,37,Writer
162,264,Penciler
163,122,Writer
163,143,Penciler
164,343,Writer
164,249,Penciler
165,110,Writer
165,277,Penciler
166,68,Writer
166,371,Penciler
167,479,Writer
167,452,Penciler
168,293,Writer
168,296,Penciler
169,243,Writer
169,125,Penciler
170,402,Writer
170,243,Penciler
171,414,Writer
171,209,Penciler
172,98,Writer
172,49,Penciler
173,50,Writer
173,338,Penciler
174,221,Writer
174,182,Penciler
175,217,Writer
175,211,Penciler
176,240,Writer
176,443,Penciler
177,374,Writer
177,28,Penciler
178,345,Writer
178,335,Penciler
179,331,Writer
179,51,Penciler
180,32,Writer
180,207,Penciler
181,373,Writer
181,174,Penciler
182,410,Writer
182,442,Penciler
183,56,Writer
183,128,Penciler
184,99,Writer
184,98,Penciler
185,275,Writer
185,230,Penciler
186,72,Writer
186,217,Penciler
187,94,Writer
187,143,Penciler
188,237,Writer
188,128,Penciler
189,448,Writer
189,473,Penciler
190,39,Writer
190,227,Penciler
191,414,Writer
191,442,Penciler
192,439,Writer
192,282,Penciler
193,51,Writer
193,26,Penciler
194,334,Writer
194,277,Penciler
195,429,Writer
195,8,Penciler
196,497,Writer
196,48,Penciler
197,475,Writer
197,386,Penciler
198,435,Writer
198,122,Penciler
199,86,Writer
199,209,Penciler
200,249,Writer
200,247,Penciler
201,110,Writer
201,443,Penciler
202,206,Writer
202,463,Penciler
203,31,Writer
203,85,Penciler
204,195,Writer
204,2,Penciler
205,200,Writer
205,136,Penciler
206,475,Writer
206,402,Penciler
207,402,Writer
207,233,Penciler
208,147,Writer
208,217,Penciler
209,357,Writer
209,491,Penciler
210,375,Writer
210,402,Penciler
211,285,Writer
211,339,Penciler
212,368,Writer
212,250,Penciler
213,80,Writer
213,98,Penciler
214,152,Writer
214,112,Penciler
215,496,Writer
215,30,Penciler
216,297,Writer
216,377,Penciler
217,278,Writer
217,32,Penciler
218,383,Writer
218,161,Penciler
219,30,Writer
219,26,Penciler
220,300,Writer
220,245,Penciler
221,258,Writer
221,471,Penciler
222,437,Writer
222,272,Penciler
223,81,Writer
223,30,Penciler
224,492,Writer
224,261,Penciler
225,42,Writer
225,436,Penciler
226,96,Writer
226,36,Penciler
