issue_id,arc_id,part_num
282,196,1
2271,54,1
2402,56,1
955,85,1
605,153,1
12,71,1
593,34,1
2213,65,1
715,29,1
2708,7,1
540,4,1
1468,61,1
2412,83,1
65,45,1
1087,14,1
520,190,1
1725,135,1
466,191,1
261,122,1
1837,200,1
1483,132,1
2432,28,1
1852,129,1
908,158,1
178,187,1
2699,134,1
1236,118,1
2636,8,1
250,123,1
1646,110,1
2811,28,2
2009,183,1
1817,19,1
331,83,2
2492,38,1
270,33,1
1127,160,1
2594,150,1
2247,183,2
1332,98,1
2447,136,1
1208,117,1
2071,155,1
1763,26,1
2875,30,1
2682,167,1
2259,185,1
881,111,1
1850,59,1
1695,87,1
1858,103,1
1704,187,2
390,81,1
1749,81,2
2725,66,1
1534,40,1
2814,122,2
275,24,1
350,24,2
1769,25,1
1527,34,2
2279,16,1
2403,144,1
2301,85,2
2745,32,1
1683,91,1
2726,193,1
1733,185,2
211,74,1
2460,80,1
1441,27,1
2368,130,1
872,40,2
2690,124,1
919,28,3
1435,143,1
1506,30,2
1142,147,1
927,110,2
2298,197,1
2547,158,2
2765,165,1
2281,7,2
2495,169,1
2841,69,1
119,47,1
1120,180,1
1266,87,2
1438,2,1
744,37,1
2320,169,2
1642,18,1
582,190,2
2594,8,2
376,192,1
2173,56,2
1541,108,1
1859,88,1
645,95,1
1277,185,3
1329,199,1
2325,153,2
348,14,2
638,41,1
2531,13,1
2761,21,1
1115,114,1
2712,109,1
1990,156,1
1811,107,1
1119,56,3
2099,30,3
1414,111,2
455,73,1
2778,174,1
2430,125,1
2159,171,1
1264,12,1
904,102,1
2455,15,1
32,53,1
1235,55,1
563,196,2
1047,75,1
1344,31,1
32,128,1
1764,45,2
530,98,2
2182,181,1
943,129,2
2289,172,1
1451,19,2
1627,190,3
174,112,1
77,118,2
319,81,3
2359,110,3
2349,104,1
2907,164,1
1711,75,2
472,104,2
86,84,1
704,159,1
1885,177,1
1483,23,1
1789,28,4
997,112,2
2413,103,2
2147,21,2
1622,80,2
1391,57,1
1365,200,2
689,20,1
2091,163,1
468,136,2
2089,50,1
1432,90,1
2980,166,1
605,61,2
422,38,2
1049,51,1
711,155,2
627,195,1
2685,20,2
726,198,1
2573,127,1
1901,194,1
2310,195,2
2374,115,1
2790,145,1
2634,163,2
2559,83,3
2570,81,4
619,113,1
280,121,1
1812,162,1
1241,71,2
2423,15,2
1442,130,2
304,80,3
1892,116,1
155,15,3
1511,74,2
315,166,2
370,158,3
2434,130,3
1575,119,1
2378,142,1
169,116,2
2342,167,2
772,83,4
2479,122,3
2054,39,1
254,116,3
424,88,2
2926,22,1
2067,166,3
707,11,1
1015,182,1
1794,113,2
2147,134,2
2498,41,2
1491,96,1
1159,100,1
1675,199,2
1386,174,2
2449,14,3
2585,166,4
1371,17,1
1351,25,2
2286,174,3
1584,73,2
1033,186,1
2690,155,3
616,86,1
334,150,2
2719,37,2
1433,80,4
2688,179,1
2713,101,1
529,153,3
2904,22,2
1269,144,2
1543,165,2
1346,33,2
2745,180,2
2808,135,2
383,166,5
2747,109,2
2083,93,1
75,93,2
1266,47,2
878,88,3
1992,50,2
928,36,1
635,20,3
1212,26,2
2080,198,2
2211,190,4
2157,10,1
2712,87,3
2532,34,3
2447,97,1
632,42,1
741,178,1
2559,43,1
2954,113,3
179,106,1
1493,174,4
2948,61,3
1820,157,1
1168,193,2
1839,60,1
2188,62,1
1268,121,2
795,95,2
2779,147,2
1805,119,2
1155,200,3
1565,129,3
2161,108,2
664,52,1
2477,36,2
1025,14,4
2627,124,2
1521,142,2
421,183,3
2114,32,2
1168,22,3
657,70,1
1841,132,2
604,112,3
376,57,2
1848,90,2
110,107,2
219,102,2
2057,96,2
966,99,1
335,96,3
920,8,3
1306,26,3
2928,167,3
1374,38,3
564,10,2
1176,121,3
2852,36,3
2890,121,4
1838,158,4
22,21,3
78,66,2
884,39,2
2248,187,3
2494,136,3
1734,29,2
1181,61,4
1234,32,3
196,62,2
1720,164,2
2552,118,3
258,29,3
2048,153,4
2196,5,1
2589,132,3
2356,62,3
2944,37,3
1194,110,4
7,158,5
1446,62,4
2338,107,3
768,171,2
2738,22,4
2145,93,3
278,135,3
2229,130,4
2080,142,3
84,100,2
1926,12,2
2604,100,3
1530,65,2
67,92,1
277,89,1
988,188,1
2692,161,1
425,198,3
2384,189,1
1362,35,1
182,91,2
2237,87,4
2633,45,3
2805,119,3
2849,123,2
2588,47,3
553,17,2
2933,199,3
1875,10,3
1202,52,2
180,52,3
172,81,5
1271,132,4
1632,140,1
1940,65,3
150,193,3
2650,49,1
1172,92,2
196,168,1
1360,70,2
510,95,3
1790,103,3
1802,99,2
1389,48,1
2033,178,2
2038,95,4
2127,69,2
