publisher_id,name,founded_year,country,website
1,Marvel Comics,1939,USA,https://www.marvelcomics.com
2,DC Comics,1934,USA,https://www.dccomics.com
3,Image Comics,1992,USA,https://www.imagecomics.com
4,Dark Horse Comics,1986,USA,https://www.darkhorsecomics.com
5,IDW Publishing,1999,USA,https://www.idwpublishing.com
6,BOOM! Studios,2005,USA,https://www.boom!studios.com
7,Dynamite Entertainment,2004,USA,https://www.dynamiteentertainment.com
8,Valiant Comics,1989,USA,https://www.valiantcomics.com
9,Archie Comics,1939,USA,https://www.archiecomics.com
10,Fantagraphics Books,1976,USA,https://www.fantagraphicsbooks.com
11,Drawn and Quarterly,1990,Canada,https://www.drawnandquarterly.com
12,Oni Press,1997,USA,https://www.onipress.com
13,Vault Comics,2016,USA,https://www.vaultcomics.com
14,Aftershock Comics,2015,USA,https://www.aftershockcomics.com
15,Titan Comics,2010,UK,https://www.titancomics.com
16,2000 AD,1977,UK,https://www.2000ad.com
17,Rebellion Publishing,1992,UK,https://www.rebellionpublishing.com
18,Humanoids,1969,France,https://www.humanoids.com
19,Kodansha Comics,1909,Japan,https://www.kodanshacomics.com
20,Viz Media,1986,USA,https://www.vizmedia.com
