series_id,publisher_id,title,start_year,end_year,genre,description
1,5,The Spectacular Warriors,1973,,Humor,One hero stands alone against an empire of darkness.
2,3,The Incredible Guardians,2013,2014,Fantasy,"In a world gone mad, only outlaws can restore order."
3,18,The Astonishing Watch,1941,1964,Crime,"In a world gone mad, only outlaws can restore order."
4,6,The Cosmic Strike,1973,1974,Humor,A new generation must carry the weight of a broken legacy.
5,11,The Secret Order,1957,,Horror,One hero stands alone against an empire of darkness.
6,9,The Shadow Legion,1983,2003,Anthology,A team of unlikely heroes must unite to prevent catastrophe.
7,3,The Cosmic Crusaders,1953,1966,Romance,The line between hero and villain has never been thinner.
8,3,The Immortal Corps,2011,,Superhero,"In a world gone mad, only outlaws can restore order."
9,9,The Deadly Guardians,1967,1980,Dark Superhero,"Ancient evil returns, and the old ways may be the only hope."
10,9,The Dark Corps,1983,,Humor,One hero stands alone against an empire of darkness.
11,15,The Immortal Syndicate,2006,2012,Crime,The line between hero and villain has never been thinner.
12,2,The Incredible Division,1979,2004,Fantasy,A team of unlikely heroes must unite to prevent catastrophe.
13,19,The Secret Unit,1972,,Humor,"Ancient evil returns, and the old ways may be the only hope."
14,15,The Last Assembly,1988,2009,Science Fiction,The line between hero and villain has never been thinner.
15,19,The Savage Division,2009,2021,Crime,"The final war begins, and no one will emerge unchanged."
16,17,The Shadow Corps,1966,1971,Dark Superhero,One hero stands alone against an empire of darkness.
17,14,The Uncanny Legion,1957,1983,Western,One hero stands alone against an empire of darkness.
18,9,The Shadow Unit,2014,2023,Romance,A team of unlikely heroes must unite to prevent catastrophe.
19,4,The Spectacular Crusaders,1972,1983,Action,A new generation must carry the weight of a broken legacy.
20,9,The Dark Collective,1938,1967,Romance,Long-buried secrets threaten to destroy everything they built.
21,17,The Astonishing Legion,2018,,Western,"In a world gone mad, only outlaws can restore order."
22,17,The Savage Corps,1958,1983,Superhero,"The final war begins, and no one will emerge unchanged."
23,12,The Secret Assembly,1940,,Anthology,The line between hero and villain has never been thinner.
24,3,The Eternal Defenders,1968,1971,Humor,"When gods fall, mortals must rise to fill the void."
25,16,The Mighty Crusaders,1954,,Romance,Long-buried secrets threaten to destroy everything they built.
26,18,The Invincible Vanguard,2015,2019,Anthology,"In a world gone mad, only outlaws can restore order."
27,15,The Deadly Unit,1985,2002,Horror,"In a world gone mad, only outlaws can restore order."
28,18,The Eternal Guardians,1981,,Fantasy,"The final war begins, and no one will emerge unchanged."
29,8,The Eternal Warriors,1947,1949,Horror,A team of unlikely heroes must unite to prevent catastrophe.
30,16,The Secret Guardians,2003,,Fantasy,Two enemies discover they share a common enemy.
31,16,The Savage Strike,2011,2024,Anthology,A new generation must carry the weight of a broken legacy.
32,14,The Last Legion,1950,1962,Crime,"When gods fall, mortals must rise to fill the void."
33,8,The Uncanny Unit,1981,1985,Fantasy,"In a world gone mad, only outlaws can restore order."
34,15,The Incredible Collective,1955,1964,Fantasy,One hero stands alone against an empire of darkness.
35,8,The Spectacular Defenders,2007,2010,Science Fiction,A new generation must carry the weight of a broken legacy.
36,2,The Blazing Assembly,1965,1994,Science Fiction,A new generation must carry the weight of a broken legacy.
37,15,The Amazing Unit,1971,1997,Action,A new generation must carry the weight of a broken legacy.
38,7,The Incredible Assembly,1957,,Superhero,"The final war begins, and no one will emerge unchanged."
39,19,The Incredible Defenders,1978,,Dark Superhero,Two enemies discover they share a common enemy.
40,6,The Astonishing Syndicate,1945,1948,Horror,"The final war begins, and no one will emerge unchanged."
41,19,The Mighty Division,1989,,Fantasy,"The final war begins, and no one will emerge unchanged."
42,19,The Immortal Defenders,2017,,Western,Two enemies discover they share a common enemy.
43,5,The Last Force,1968,,War,The line between hero and villain has never been thinner.
44,20,The Cosmic Force,1947,,Western,One hero stands alone against an empire of darkness.
45,12,The Last Vanguard,1971,,Horror,"In a world gone mad, only outlaws can restore order."
46,10,The Hidden Circle,1958,1976,Western,Two enemies discover they share a common enemy.
47,5,The Amazing Crusaders,1976,1980,Action,One hero stands alone against an empire of darkness.
48,11,The Savage Order,1974,1997,Fantasy,The line between hero and villain has never been thinner.
49,2,The Astonishing Assembly,1970,1998,Horror,A new generation must carry the weight of a broken legacy.
50,5,The Invincible Defenders,1938,,War,The line between hero and villain has never been thinner.
51,3,The Incredible Patrol,2009,,Humor,Long-buried secrets threaten to destroy everything they built.
52,5,The Hidden Strike,2008,,Superhero,The line between hero and villain has never been thinner.
53,8,The Hidden Defenders,1983,,War,One hero stands alone against an empire of darkness.
54,5,The Hidden Crusaders,1990,2014,Fantasy,Long-buried secrets threaten to destroy everything they built.
55,11,The Dark Patrol,1941,,Anthology,A new generation must carry the weight of a broken legacy.
56,13,The Eternal Order,1958,1962,Superhero,"When gods fall, mortals must rise to fill the void."
57,8,The Eternal Alliance,1996,,Fantasy,A team of unlikely heroes must unite to prevent catastrophe.
58,3,The Last Unit,1980,,Anthology,The line between hero and villain has never been thinner.
59,18,The Hidden Vanguard,1989,2016,Mystery,A team of unlikely heroes must unite to prevent catastrophe.
60,2,The Spectacular Order,1960,1969,Horror,"The final war begins, and no one will emerge unchanged."
61,4,The Iron Corps,1978,1995,Crime,"The final war begins, and no one will emerge unchanged."
62,17,The Last Order,1943,1944,Anthology,Two enemies discover they share a common enemy.
63,11,The Last Corps,1993,,Western,"Ancient evil returns, and the old ways may be the only hope."
64,14,The Spectacular Circle,2002,,Mystery,A new generation must carry the weight of a broken legacy.
65,13,The Deadly Crusaders,1954,,War,Long-buried secrets threaten to destroy everything they built.
66,1,The Immortal Strike,1976,2003,Action,The line between hero and villain has never been thinner.
67,15,The Last Patrol,2012,2018,Dark Superhero,"When gods fall, mortals must rise to fill the void."
68,20,The Blazing Syndicate,1948,,Mystery,One hero stands alone against an empire of darkness.
69,1,The Eternal Circle,1966,1971,Superhero,"In a world gone mad, only outlaws can restore order."
70,19,The Blazing Watch,1947,1976,Fantasy,A new generation must carry the weight of a broken legacy.
71,1,The Blazing Unit,1969,,Anthology,One hero stands alone against an empire of darkness.
72,17,The Iron Division,1960,1983,Dark Superhero,A team of unlikely heroes must unite to prevent catastrophe.
73,17,The Spectacular Collective,1955,1977,Romance,"The final war begins, and no one will emerge unchanged."
74,18,The Secret Collective,2016,2023,Dark Superhero,Long-buried secrets threaten to destroy everything they built.
75,9,The Blazing Collective,1971,1998,Anthology,Two enemies discover they share a common enemy.
76,10,The Blazing Division,1973,1996,Fantasy,The line between hero and villain has never been thinner.
77,5,The Secret Force,2007,,Fantasy,A new generation must carry the weight of a broken legacy.
78,18,The Savage Alliance,1946,1957,Dark Superhero,A new generation must carry the weight of a broken legacy.
79,19,The Uncanny Alliance,1991,,Humor,A team of unlikely heroes must unite to prevent catastrophe.
80,12,The Fearless Unit,1999,,Action,A new generation must carry the weight of a broken legacy.
81,16,The Iron Crusaders,2007,2015,Fantasy,The line between hero and villain has never been thinner.
82,13,The Iron Assembly,1941,,Humor,Long-buried secrets threaten to destroy everything they built.
83,19,The Cosmic Brotherhood,2017,2021,Western,A team of unlikely heroes must unite to prevent catastrophe.
84,2,The Mighty Patrol,1955,1961,Action,A new generation must carry the weight of a broken legacy.
85,13,The Secret Alliance,1996,,Action,A new generation must carry the weight of a broken legacy.
86,18,The Invincible Guardians,1998,,Superhero,"Ancient evil returns, and the old ways may be the only hope."
87,1,The Uncanny Warriors,1969,,Western,Long-buried secrets threaten to destroy everything they built.
88,7,The Eternal Brotherhood,1998,2017,Dark Superhero,The line between hero and villain has never been thinner.
89,6,The Hidden Syndicate,2015,2017,Action,One hero stands alone against an empire of darkness.
90,13,The Fearless Warriors,1977,2007,Crime,"In a world gone mad, only outlaws can restore order."
91,10,The Mighty Strike,2018,,War,"The final war begins, and no one will emerge unchanged."
92,14,The Spectacular Strike,1943,,War,"Ancient evil returns, and the old ways may be the only hope."
93,14,The Mighty Vanguard,2020,,Dark Superhero,One hero stands alone against an empire of darkness.
94,20,The Iron Syndicate,2004,2013,Anthology,Two enemies discover they share a common enemy.
95,8,The Iron Strike,1972,,Horror,The line between hero and villain has never been thinner.
96,13,The Cosmic Division,1997,2019,Mystery,A team of unlikely heroes must unite to prevent catastrophe.
97,9,The Blazing Force,1961,1973,Mystery,The line between hero and villain has never been thinner.
98,7,The Immortal Order,2009,,Horror,"In a world gone mad, only outlaws can restore order."
99,13,The Cosmic Warriors,1949,,Humor,"In a world gone mad, only outlaws can restore order."
100,12,The Deadly Strike,1985,2002,Crime,Two enemies discover they share a common enemy.
101,9,The Secret Corps,1996,,Fantasy,One hero stands alone against an empire of darkness.
102,19,The Dark Alliance,1965,1974,Anthology,Two enemies discover they share a common enemy.
103,8,The Immortal Circle,1950,1960,Mystery,Long-buried secrets threaten to destroy everything they built.
104,2,The Deadly Warriors,2006,,Superhero,Two enemies discover they share a common enemy.
105,4,The Deadly Brotherhood,2019,2023,Superhero,"The final war begins, and no one will emerge unchanged."
106,2,The Deadly Assembly,1999,2005,Action,"When gods fall, mortals must rise to fill the void."
107,2,The Spectacular Guardians,1989,2008,Science Fiction,Long-buried secrets threaten to destroy everything they built.
108,18,The Fearless Circle,1948,1952,Anthology,A new generation must carry the weight of a broken legacy.
109,17,The Immortal Watch,2017,,Crime,"When gods fall, mortals must rise to fill the void."
110,19,The Cosmic Circle,2013,2018,Western,A team of unlikely heroes must unite to prevent catastrophe.
111,3,The Immortal Legion,1964,1973,Science Fiction,"In a world gone mad, only outlaws can restore order."
